idx,id,title,url,date
1,w7uitSebBAA,【LIVE】夜のニュース(Japan News Digest Live)最新情報など｜TBS NEWS DIG（3月4日）,https://www.youtube.com/watch?v=w7uitSebBAA,2025-03-04
2,6aMEhKKPDVk,【LIVE】朝のニュース（Japan News Digest Live）最新情報など（3月5日）,https://www.youtube.com/watch?v=6aMEhKKPDVk,2025-03-05
3,X_opDsEvgVY,【LIVE】夜のニュース(Japan News Digest Live)最新情報など｜TBS NEWS DIG（3月5日）,https://www.youtube.com/watch?v=X_opDsEvgVY,2025-03-05
4,g6aTlsYl_v8,【LIVE】朝のニュース（Japan News Digest Live）最新情報など（3月6日）,https://www.youtube.com/watch?v=g6aTlsYl_v8,2025-03-06
5,10qIoa2eKUk,【LIVE】夜のニュース(Japan News Digest Live)最新情報など｜TBS NEWS DIG（3月6日）,https://www.youtube.com/watch?v=10qIoa2eKUk,2025-03-06
6,lQ8voZRIbPM,【LIVE】朝のニュース（Japan News Digest Live）最新情報など（3月7日）,https://www.youtube.com/watch?v=lQ8voZRIbPM,2025-03-07
7,P-f4q7dsb6Y,【LIVE】朝のニュース（Japan News Digest Live）最新情報など（3月8日）,https://www.youtube.com/watch?v=P-f4q7dsb6Y,2025-03-08
8,wK2a73u3JS4,【LIVE】夜のニュース(Japan News Digest Live)最新情報など｜TBS NEWS DIG（3月7日）,https://www.youtube.com/watch?v=wK2a73u3JS4,2025-03-07
9,RbBHo3Hs_8Q,【LIVE】昼のニュース(Japan News Digest Live)最新情報など｜TBS NEWS DIG（3月8日）,https://www.youtube.com/watch?v=RbBHo3Hs_8Q,2025-03-08
10,5jh1xUBmVoE,【LIVE】朝のニュース（Japan News Digest Live）最新情報など（3月9日）,https://www.youtube.com/watch?v=5jh1xUBmVoE,2025-03-09
11,m0WRfGt30Ug,【LIVE】朝のニュース（Japan News Digest Live）最新情報など（3月10日）,https://www.youtube.com/watch?v=m0WRfGt30Ug,2025-03-10
12,HR8b8UKs9MM,【LIVE】夜のニュース(Japan News Digest Live)最新情報など｜TBS NEWS DIG（3月10日）,https://www.youtube.com/watch?v=HR8b8UKs9MM,2025-03-10
13,nBK4qe6cO7M,【LIVE】朝のニュース（Japan News Digest Live）最新情報など（3月11日）,https://www.youtube.com/watch?v=nBK4qe6cO7M,2025-03-11
14,aBPDGykUv8Q,【LIVE】夜のニュース（Japan News Digest Live）最新情報など｜TBS NEWS DIG（3月11日）,https://www.youtube.com/watch?v=aBPDGykUv8Q,2025-03-11
15,zZtkeZ7Qmak,【LIVE】朝のニュース（Japan News Digest Live）最新情報など（3月12日）,https://www.youtube.com/watch?v=zZtkeZ7Qmak,2025-03-12
16,ArkOVrDzxBk,【LIVE】夜のニュース（Japan News Digest Live）最新情報など｜TBS NEWS DIG（3月13日）,https://www.youtube.com/watch?v=ArkOVrDzxBk,2025-03-13
17,vLE5fCW-utA,【LIVE】朝のニュース（Japan News Digest Live）最新情報など（3月13日）,https://www.youtube.com/watch?v=vLE5fCW-utA,2025-03-13
18,aXMoVYgkV6s,【LIVE】夜のニュース（Japan News Digest Live）最新情報など｜TBS NEWS DIG（3月12日）,https://www.youtube.com/watch?v=aXMoVYgkV6s,2025-03-12
19,lmXs0RB6eDI,【LIVE】朝のニュース（Japan News Digest Live）最新情報など（3月14日）,https://www.youtube.com/watch?v=lmXs0RB6eDI,2025-03-14
20,7_qWQlz0Tfs,【LIVE】夜のニュース（Japan News Digest Live）最新情報など｜TBS NEWS DIG（3月14日）,https://www.youtube.com/watch?v=7_qWQlz0Tfs,2025-03-14
